Word,SUBTLWF
Levin,0.65
Libra,0.37
Manchurian,0.63
Midland,0.65
Munster,0.41
Pompeii,0.33
Preppie,0.80
Ravel,0.41
Redding,0.39
Aramaic,0.61
Beaujolais,0.49
Falk,0.76
Hales,0.59
Kern,1.14
Kodiak,1.14
Lysol,0.29
Minotaur,0.49
Muller,1.47
Okeydoke,0.33
Protestants,0.29
Sierras,0.33
Sweetwater,1.41
Vd,0.33
Weller,0.73
Aggie,2.08
Barbary,0.33
Beamer,0.31
Chablis,0.49
Chia,0.78
Cleaves,0.92
Conner,0.90
Dateline,0.33
Energizer,0.25
Filii,0.29
Formica,0.31
Hebrews,0.49
Mont,0.80
Neverland,0.61
Og,0.63
Okie,0.35
Pilate,0.47
Shazam,0.27
Corinne,1.04
Dixieland,0.27
Madras,0.24
Mercurochrome,0.25
Moira,1.63
Mounties,0.25
Nigerian,0.55
Pollack,0.92
Proteus,2.18
Silva,1.18
Stillman,0.65
Stoney,0.90
Brazilians,0.24
Epsilon,0.33
Esmeralda,0.71
Kraft,0.84
Linden,1.16
Macintosh,0.69
Madden,0.57
Messrs,0.27
Nautilus,0.80
Paine,2.76
Pearce,1.73
Sumerian,0.24
Tanna,0.61
Victrola,0.31
Whitehead,0.88
Wort,0.37
Adm,0.94
Blanco,0.73
Bopper,0.49
Bravissimo,0.24
Cheshire,0.29
Commodores,0.22
Cossack,0.37
Fulham,0.29
Gare,0.22
Goodyear,0.25
Juneau,0.24
Leviticus,0.29
Mayans,0.33
Nickelodeon,0.20
Noh,0.25
Noo,0.22
Palestinian,0.39
Pollard,0.75
Skoal,0.22
Stonehenge,0.39
Wacker,0.51
Assisi,0.43
Bal,0.29
Benadryl,0.47
Blighty,0.25
Bluebeard,0.24
Bogota,0.27
Bulgaria,0.22
Californians,0.24
Columbian,0.31
Feelgood,0.20
Globetrotters,0.24
Grandmaster,0.41
Jt,0.65
Largo,1.06
Lowry,0.80
Nob,0.35
Phlox,0.49
Phys,0.18
Sayers,0.78
Southerner,0.22
Twiggy,0.18
Wac,0.24
Waterman,0.51
Westerner,0.20
Ade,0.29
Adonai,0.33
Bacchus,0.20
Bijou,1.82
Canc,0.25
Castillo,0.67
Cherchez,0.20
Choco,0.76
Deuteronomy,0.20
Easterners,0.16
Eek,0.20
Glazer,0.25
Grosse,0.24
Knickerbocker,0.18
Latvian,0.35
Lauder,0.24
Leastwise,0.16
Lind,0.33
Mudd,1.10
Muzak,0.18
Polytechnic,0.16
Presidio,0.25
Quaalude,0.18
Samaritans,0.16
Trav,0.20
Trilling,0.29
Wat,0.69
Avengers,0.27
Bacharach,0.16
Bohemia,0.22
Brodie,0.63
Captioned,0.14
Charon,0.22
Chicano,0.75
Chippewa,0.31
Clements,1.06
Comte,0.43
Dales,0.18
Ecclesiastes,0.16
Freemason,0.20
